,Loss,Accuracy,WeightedWeatherPenalty,Precision,Recall,AUC
no_augmentation,0.8703029751777649,0.9017857313156128,0.3392857015132904,0.9150943160057068,0.8660714030265808,0.9599409699440002
rotation,0.8735465407371521,0.9017857313156128,0.3392857015132904,0.9056603908538818,0.8571428656578064,0.9587053656578064
horizontal_flip,0.8663095235824585,0.8928571343421936,0.3482142984867096,0.9074074029922485,0.875,0.9611566662788391
zoom,0.8633449673652649,0.9107142686843872,0.3303571343421936,0.9150943160057068,0.8660714030265808,0.9621333479881287
contrast,0.9116150140762329,0.8392857313156128,0.6428571343421936,0.8640776872634888,0.7946428656578064,0.9483816623687744
